Date,Product_SKU,Review_Text,Rating
2025-07-01,Nike Men Air Max Excee Sneakers,"Really comfortable and fits well.",5
2025-07-01,Nike Men Air Max Excee Sneakers,"Sole wore off too quickly.",1
2025-07-01,Nike Men Air Max Excee Sneakers,"Love the design and color.",5
2025-07-02,Nike Men Air Max Excee Sneakers,"Not satisfied with cushioning.",2
2025-07-02,Nike Men Air Max Excee Sneakers,"Perfect for running.",5
2025-07-03,Nike Men Air Max Excee Sneakers,"Highly recommend to athletes.",5
2025-07-03,Nike Men Air Max Excee Sneakers,"Good product overall!",4
2025-07-04,Nike Men Air Max Excee Sneakers,"Stylish but slightly tight fit.",3
2025-07-04,Nike Men Air Max Excee Sneakers,"Very lightweight and durable.",5
2025-07-05,Nike Men Air Max Excee Sneakers,"Average quality, expected better.",3
2025-07-05,Nike Men Air Max Excee Sneakers,"Cushioning feels soft and comfortable.",4
2025-07-06,Nike Men Air Max Excee Sneakers,"Excellent grip on all surfaces.",5
2025-07-06,Nike Men Air Max Excee Sneakers,"Design is trendy, love it.",5
2025-07-07,Nike Men Air Max Excee Sneakers,"Color fades after multiple washes.",2
2025-07-07,Nike Men Air Max Excee Sneakers,"Worth the price, satisfied.",4
2025-07-01,Adidas Men Black Solid T-Shirt,"Soft and breathable fabric.",5
2025-07-01,Adidas Men Black Solid T-Shirt,"Shrinked after wash.",2
2025-07-02,Adidas Men Black Solid T-Shirt,"Perfect for workouts.",4
2025-07-02,Adidas Men Black Solid T-Shirt,"Color faded slightly.",3
2025-07-03,Adidas Men Black Solid T-Shirt,"Very comfortable.",5
2025-07-03,Adidas Men Black Solid T-Shirt,"Seams started tearing.",1
2025-07-04,Adidas Men Black Solid T-Shirt,"Good value for money.",4
2025-07-04,Adidas Men Black Solid T-Shirt,"Fits perfectly.",5
2025-07-05,Adidas Men Black Solid T-Shirt,"Material feels cheap.",2
2025-07-05,Adidas Men Black Solid T-Shirt,"Exactly what I wanted.",5
2025-07-06,Adidas Men Black Solid T-Shirt,"Fabric is soft and cozy.",4
2025-07-06,Adidas Men Black Solid T-Shirt,"Size runs slightly large.",3
2025-07-07,Adidas Men Black Solid T-Shirt,"Nice stitching and finish.",5
2025-07-07,Adidas Men Black Solid T-Shirt,"Color retained after wash.",4
2025-07-01,Levis Men 512 Slim Tapered Fit Jeans,"Perfect fit, durable.",5
2025-07-01,Levis Men 512 Slim Tapered Fit Jeans,"Not true to size.",3
2025-07-02,Levis Men 512 Slim Tapered Fit Jeans,"Loved the style and color.",5
2025-07-02,Levis Men 512 Slim Tapered Fit Jeans,"Material feels stiff.",2
2025-07-03,Levis Men 512 Slim Tapered Fit Jeans,"Good for casual wear.",4
2025-07-03,Levis Men 512 Slim Tapered Fit Jeans,"Faded after first wash.",2
2025-07-04,Levis Men 512 Slim Tapered Fit Jeans,"Highly recommend.",5
2025-07-04,Levis Men 512 Slim Tapered Fit Jeans,"Slightly tight at waist.",3
2025-07-05,Levis Men 512 Slim Tapered Fit Jeans,"Excellent quality.",5
2025-07-05,Levis Men 512 Slim Tapered Fit Jeans,"Not worth the price.",2
2025-07-06,Levis Men 512 Slim Tapered Fit Jeans,"Very comfortable for long wear.",4
2025-07-06,Levis Men 512 Slim Tapered Fit Jeans,"Nice color, goes with everything.",5
2025-07-07,Levis Men 512 Slim Tapered Fit Jeans,"Pocket stitching came loose.",2
2025-07-07,Levis Men 512 Slim Tapered Fit Jeans,"Perfect for office and casual use.",5
2025-07-01,HRX By Hrithik Roshan Men Training Jacket,"Cool design, warm enough.",4
2025-07-01,HRX By Hrithik Roshan Men Training Jacket,"Zipper broke in 2 weeks.",1
2025-07-02,HRX By Hrithik Roshan Men Training Jacket,"Very comfortable and lightweight.",5
2025-07-02,HRX By Hrithik Roshan Men Training Jacket,"Color faded after wash.",2
2025-07-03,HRX By Hrithik Roshan Men Training Jacket,"Perfect for running.",5
2025-07-03,HRX By Hrithik Roshan Men Training Jacket,"Not durable enough.",2
2025-07-04,HRX By Hrithik Roshan Men Training Jacket,"Good for workouts.",4
2025-07-04,HRX By Hrithik Roshan Men Training Jacket,"Size runs small.",3
2025-07-05,HRX By Hrithik Roshan Men Training Jacket,"High quality fabric.",5
2025-07-05,HRX By Hrithik Roshan Men Training Jacket,"Disappointed with stitching.",1
2025-07-06,HRX By Hrithik Roshan Men Training Jacket,"Lightweight and easy to move.",4
2025-07-06,HRX By Hrithik Roshan Men Training Jacket,"Warm enough for winter runs.",5
2025-07-07,HRX By Hrithik Roshan Men Training Jacket,"Fit is perfect and snug.",5
2025-07-07,HRX By Hrithik Roshan Men Training Jacket,"Sleeves a bit long.",3
